"ID","Nombre","Referencia","Precio","Cantidad","Categoría","Imagen URL"
"179","Pinzas para uñas de presión","NA-PINZ","2.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/9/179-large_default.jpg"
"180","Brocha para manicura 01","NA-BRO1","4.297000","1000","Complementos","https://wemmiprofesional.com/img/p/1/8/0/180-large_default.jpg"
"181","Brocha para manicura 02","NA-BRO2","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/1/8/1/181-large_default.jpg"
"182","Rollo de celulosa 500 pcs.","NA-ROCEL","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/1/8/2/182-large_default.jpg"
"232","Parche para pestañas 10 pares","Ref-PESPAT10","4.500000","1000","Complementos","https://wemmiprofesional.com/img/p/2/3/2/232-large_default.jpg"
"234","Líquido limpia pestaña 100 ML","PES-CLEA100ML","0.000000","1000","Complementos","https://wemmiprofesional.com/img/p/2/3/4/234-large_default.jpg"
"235","Funda para pinzas","PES-FND","2.200000","1000","Complementos","https://wemmiprofesional.com/img/p/2/3/5/235-large_default.jpg"
"236","Pinzas para pestañas 01","PES-PZAC","3.000000","1000","Complementos","https://wemmiprofesional.com/img/p/2/3/6/236-large_default.jpg"
"237","Pinzas para pestañas 02","PES-PZAC2","3.000000","1000","Complementos","https://wemmiprofesional.com/img/p/2/3/7/237-large_default.jpg"
"238","Pinzas de presión","PES-PZAC3","3.000000","1000","Complementos","https://wemmiprofesional.com/img/p/2/3/8/238-large_default.jpg"
"239","Crema removedora pegamento para pestañas 5 ML","PES-REM5ML","0.000000","1000","Complementos","https://wemmiprofesional.com/img/p/2/3/9/239-large_default.jpg"
"668","Kit de iniciación Esmaltes semi-permanentes","KIT-01SEM","0.000000","1000","Complementos","https://wemmiprofesional.com/img/p/6/6/8/668-large_default.jpg"
"753","Plantilla metálica para nails","NA-ACC0MET1","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/7/5/3/753-large_default.jpg"
"754","Plantilla metálica para nails","NA-ACC02MET","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/7/5/4/754-large_default.jpg"
"755","Plantilla metálica para nails","NA-ACC03MET","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/7/5/5/755-large_default.jpg"
"757","KIT DE FOIL PARA DECORAR.","NA-DECOFOIL01","5.206000","1000","Complementos","https://wemmiprofesional.com/img/p/7/5/7/757-large_default.jpg"
"758","KIT DE FOIL PARA DECORAR.","NA-DECOFOIL02","5.206000","1000","Complementos","https://wemmiprofesional.com/img/p/7/5/8/758-large_default.jpg"
"759","KIT DE FOIL PARA DECORAR.","NA-DECOFOIL03","5.206000","1000","Complementos","https://wemmiprofesional.com/img/p/7/5/9/759-large_default.jpg"
"760","KIT DE FOIL PARA DECORAR.","NA-DECOFOIL04","5.206000","1000","Complementos","https://wemmiprofesional.com/img/p/7/6/0/760-large_default.jpg"
"774","Organizador de 12 compartimientos.","NA-OR12C","1.942000","1000","Complementos","https://wemmiprofesional.com/img/p/7/7/4/774-large_default.jpg"
"776","KIT DE PINCELES DE SILICONA PARA UÑAS.","NA-COMPINSILI5","6.446000","1000","Complementos","https://wemmiprofesional.com/img/p/7/7/6/776-large_default.jpg"
"777","Brocha unicornio multifunciÃ³n","NA-BLE01","3.500000","1000","Complementos","https://wemmiprofesional.com/img/p/7/7/7/777-large_default.jpg"
"792","ALICATE PROFESIONAL UÑAS 10CM.","NA-ALICA01","6.487000","1000","Complementos","https://wemmiprofesional.com/img/p/7/9/2/792-large_default.jpg"
"863","Empujador de cutícula Holográfico Mod. 06","NA-EMP06","4.256000","1000","Complementos","https://wemmiprofesional.com/img/p/8/6/3/863-large_default.jpg"
"864","Empujador de cutícula Holográfico Mod. 07","NA-EMP07","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/8/6/4/864-large_default.jpg"
"865","Empujador de cutícula Holográfico Mod. 08","NA-EMP08","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/8/6/5/865-large_default.jpg"
